tracking_index,base_date,base_pe_ratio,base_pb_ratio
CSI 300,2020-12-31,12.8,1.4
CSI 500,2020-12-31,20.5,2.0
CSI 1000,2020-12-31,28.0,2.5
SSE 50,2020-12-31,10.7,1.2
ChiNext,2020-12-31,36.5,4.1
S&P 500,2020-12-31,24.8,4.6
Nasdaq 100,2020-12-31,32.7,7.8
Dow Jones,2020-12-31,22.1,5.2
Russell 2000,2020-12-31,20.4,2.1
MSCI World,2020-12-31,21.5,3.4
MSCI EM,2020-12-31,15.2,2.0
FTSE All-World,2020-12-31,20.8,3.2
Nikkei 225,2020-12-31,18.9,1.9
TOPIX,2020-12-31,17.2,1.6
KOSPI 200,2020-12-31,13.4,1.1
STOXX Europe 600,2020-12-31,15.8,2.0
DAX,2020-12-31,16.4,2.1
