tracking_index,effective_date,earnings_index,book_value_index
CSI 300,2020-12-31,100.0000,100.0000
CSI 300,2021-03-31,101.5000,100.9750
CSI 300,2021-06-30,103.0225,101.9595
CSI 300,2021-09-30,104.5678,102.9536
CSI 300,2021-12-31,106.1364,103.9574
CSI 300,2022-03-31,107.7284,104.9710
CSI 300,2022-06-30,109.3443,105.9945
CSI 300,2022-09-30,110.9845,107.0279
CSI 300,2022-12-31,112.6493,108.0714
CSI 300,2023-03-31,114.3390,109.1251
CSI 300,2023-06-30,116.0541,110.1891
CSI 300,2023-09-30,117.7949,111.2634
CSI 300,2023-12-31,119.5618,112.3483
CSI 300,2024-03-31,121.3552,113.4437
CSI 300,2024-06-30,123.1756,114.5497
CSI 300,2024-09-30,125.0232,115.6666
CSI 300,2024-12-31,126.8986,116.7943
CSI 300,2025-03-31,128.8020,117.9331
CSI 300,2025-06-30,130.7341,119.0829
CSI 300,2025-09-30,132.6951,120.2440
CSI 300,2025-12-31,134.6855,121.4164
CSI 500,2020-12-31,100.0000,100.0000
CSI 500,2021-03-31,101.3500,100.8775
CSI 500,2021-06-30,102.7182,101.7627
CSI 500,2021-09-30,104.1049,102.6557
CSI 500,2021-12-31,105.5103,103.5565
CSI 500,2022-03-31,106.9347,104.4652
CSI 500,2022-06-30,108.3783,105.3819
CSI 500,2022-09-30,109.8415,106.3066
CSI 500,2022-12-31,111.3243,107.2394
CSI 500,2023-03-31,112.8272,108.1805
CSI 500,2023-06-30,114.3504,109.1297
CSI 500,2023-09-30,115.8941,110.0874
CSI 500,2023-12-31,117.4587,111.0534
CSI 500,2024-03-31,119.0444,112.0279
CSI 500,2024-06-30,120.6514,113.0109
CSI 500,2024-09-30,122.2802,114.0026
CSI 500,2024-12-31,123.9310,115.0029
CSI 500,2025-03-31,125.6041,116.0121
CSI 500,2025-06-30,127.2998,117.0301
CSI 500,2025-09-30,129.0183,118.0570
CSI 500,2025-12-31,130.7600,119.0930
CSI 1000,2020-12-31,100.0000,100.0000
CSI 1000,2021-03-31,101.2000,100.7800
CSI 1000,2021-06-30,102.4144,101.5661
CSI 1000,2021-09-30,103.6434,102.3583
CSI 1000,2021-12-31,104.8871,103.1567
CSI 1000,2022-03-31,106.1457,103.9613
CSI 1000,2022-06-30,107.4195,104.7722
CSI 1000,2022-09-30,108.7085,105.5894
CSI 1000,2022-12-31,110.0130,106.4130
CSI 1000,2023-03-31,111.3332,107.2431
CSI 1000,2023-06-30,112.6692,108.0796
CSI 1000,2023-09-30,114.0212,108.9226
CSI 1000,2023-12-31,115.3895,109.7722
CSI 1000,2024-03-31,116.7741,110.6284
CSI 1000,2024-06-30,118.1754,111.4913
CSI 1000,2024-09-30,119.5935,112.3609
CSI 1000,2024-12-31,121.0287,113.2373
CSI 1000,2025-03-31,122.4810,114.1206
CSI 1000,2025-06-30,123.9508,115.0107
CSI 1000,2025-09-30,125.4382,115.9078
CSI 1000,2025-12-31,126.9434,116.8119
SSE 50,2020-12-31,100.0000,100.0000
SSE 50,2021-03-31,101.8000,101.1700
SSE 50,2021-06-30,103.6324,102.3537
SSE 50,2021-09-30,105.4978,103.5512
SSE 50,2021-12-31,107.3967,104.7628
SSE 50,2022-03-31,109.3299,105.9885
SSE 50,2022-06-30,111.2978,107.2286
SSE 50,2022-09-30,113.3012,108.4831
SSE 50,2022-12-31,115.3406,109.7524
SSE 50,2023-03-31,117.4167,111.0365
SSE 50,2023-06-30,119.5302,112.3356
SSE 50,2023-09-30,121.6818,113.6500
SSE 50,2023-12-31,123.8721,114.9797
SSE 50,2024-03-31,126.1018,116.3249
SSE 50,2024-06-30,128.3716,117.6859
SSE 50,2024-09-30,130.6823,119.0628
SSE 50,2024-12-31,133.0346,120.4559
SSE 50,2025-03-31,135.4292,121.8652
SSE 50,2025-06-30,137.8669,123.2910
SSE 50,2025-09-30,140.3485,124.7335
SSE 50,2025-12-31,142.8748,126.1929
ChiNext,2020-12-31,100.0000,100.0000
ChiNext,2021-03-31,101.0500,100.6825
ChiNext,2021-06-30,102.1110,101.3697
ChiNext,2021-09-30,103.1832,102.0615
ChiNext,2021-12-31,104.2666,102.7581
ChiNext,2022-03-31,105.3614,103.4594
ChiNext,2022-06-30,106.4677,104.1655
ChiNext,2022-09-30,107.5856,104.8764
ChiNext,2022-12-31,108.7153,105.5922
ChiNext,2023-03-31,109.8568,106.3129
ChiNext,2023-06-30,111.0103,107.0385
ChiNext,2023-09-30,112.1759,107.7690
ChiNext,2023-12-31,113.3537,108.5045
ChiNext,2024-03-31,114.5439,109.2451
ChiNext,2024-06-30,115.7467,109.9907
ChiNext,2024-09-30,116.9620,110.7414
ChiNext,2024-12-31,118.1901,111.4972
ChiNext,2025-03-31,119.4311,112.2581
ChiNext,2025-06-30,120.6851,113.0243
ChiNext,2025-09-30,121.9523,113.7957
ChiNext,2025-12-31,123.2328,114.5723
S&P 500,2020-12-31,100.0000,100.0000
S&P 500,2021-03-31,101.2750,100.8287
S&P 500,2021-06-30,102.5663,101.6644
S&P 500,2021-09-30,103.8740,102.5069
S&P 500,2021-12-31,105.1984,103.3564
S&P 500,2022-03-31,106.5396,104.2130
S&P 500,2022-06-30,107.8980,105.0767
S&P 500,2022-09-30,109.2737,105.9475
S&P 500,2022-12-31,110.6670,106.8255
S&P 500,2023-03-31,112.0780,107.7108
S&P 500,2023-06-30,113.5070,108.6035
S&P 500,2023-09-30,114.9542,109.5036
S&P 500,2023-12-31,116.4198,110.4111
S&P 500,2024-03-31,117.9042,111.3261
S&P 500,2024-06-30,119.4075,112.2487
S&P 500,2024-09-30,120.9299,113.1790
S&P 500,2024-12-31,122.4718,114.1169
S&P 500,2025-03-31,124.0333,115.0627
S&P 500,2025-06-30,125.6147,116.0163
S&P 500,2025-09-30,127.2163,116.9778
S&P 500,2025-12-31,128.8383,117.9472
Nasdaq 100,2020-12-31,100.0000,100.0000
Nasdaq 100,2021-03-31,101.0500,100.6825
Nasdaq 100,2021-06-30,102.1110,101.3697
Nasdaq 100,2021-09-30,103.1832,102.0615
Nasdaq 100,2021-12-31,104.2666,102.7581
Nasdaq 100,2022-03-31,105.3614,103.4594
Nasdaq 100,2022-06-30,106.4677,104.1655
Nasdaq 100,2022-09-30,107.5856,104.8764
Nasdaq 100,2022-12-31,108.7153,105.5922
Nasdaq 100,2023-03-31,109.8568,106.3129
Nasdaq 100,2023-06-30,111.0103,107.0385
Nasdaq 100,2023-09-30,112.1759,107.7690
Nasdaq 100,2023-12-31,113.3537,108.5045
Nasdaq 100,2024-03-31,114.5439,109.2451
