symbol,as_of_date,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_1y_pct,return_3y_pct,return_5y_pct,return_since_inception_pct
ALLWORLD,2025-12-31,3.65,2.21,6.76,25.25,25.25,45.92,71.02,222.78
CHINEXT,2025-12-31,12.07,-8.46,4.45,-26.42,-26.42,3.21,-10.96,-18.10
CHN1000,2025-12-31,0.95,2.19,12.26,35.33,35.33,109.93,216.04,436.12
CHN300,2025-12-31,-7.80,6.72,-4.21,14.32,14.32,96.04,82.28,254.43
CHN500,2025-12-31,-2.92,6.36,-1.16,-6.99,-6.99,-29.67,27.18,60.02
EMERGE,2025-12-31,-2.97,-6.79,-3.17,2.39,2.39,16.00,-16.07,-32.93
EU600,2025-12-31,-2.22,-13.12,-15.98,-12.10,-12.10,-2.50,31.10,82.14
GERDAX,2025-12-31,-0.69,-2.84,14.60,6.15,6.15,20.20,16.04,55.19
JPN225,2025-12-31,-1.98,-11.89,3.83,19.19,19.19,76.49,139.39,960.93
JPTOPIX,2025-12-31,5.26,18.51,28.17,24.10,24.10,39.35,62.66,230.89
KOR200,2025-12-31,1.75,-4.11,-18.12,-19.05,-19.05,-27.03,-49.61,-76.96
SSE50,2025-12-31,-5.47,-9.57,-3.99,-7.13,-7.13,0.99,24.13,67.80
USDJIA,2025-12-31,4.62,8.44,-8.29,0.47,0.47,24.99,39.24,160.54
USN100,2025-12-31,-4.94,-8.45,-3.56,8.17,8.17,96.84,110.78,511.77
USP500,2025-12-31,-9.88,-1.59,-3.44,11.88,11.88,63.40,46.42,184.70
USR2000,2025-12-31,-3.56,-11.01,-9.29,-20.41,-20.41,-16.30,-16.13,-27.63
WORLD,2025-12-31,1.09,7.52,11.60,-5.19,-5.19,49.19,9.63,26.63
