symbol,date,monthly_price_return_pct,monthly_total_return_pct,total_return_index,cumulative_total_return_pct
CHN300,2020-12-31,0.0000,0.0000,100.0000,0.0000
CHN300,2021-01-31,-1.7628,-1.5961,98.4039,-1.5961
CHN300,2021-02-28,12.0000,12.1667,110.3763,10.3763
CHN300,2021-03-31,4.8936,5.0602,115.9616,15.9616
CHN300,2021-04-30,2.7479,2.9146,119.3414,19.3414
CHN300,2021-05-31,1.4782,1.6449,121.3045,21.3045
CHN300,2021-06-30,-7.3385,-7.1718,112.6047,12.6047
CHN300,2021-07-31,-5.4995,-5.3328,106.5997,6.5997
CHN300,2021-08-31,-1.7710,-1.6043,104.8895,4.8895
CHN300,2021-09-30,6.5722,6.7389,111.9579,11.9579
CHN300,2021-10-31,10.0172,10.1838,123.3595,23.3595
CHN300,2021-11-30,-8.9325,-8.7658,112.5461,12.5461
CHN300,2021-12-31,-5.7694,-5.6027,106.2405,6.2405
CHN300,2022-01-31,1.2153,1.3819,107.7086,7.7086
CHN300,2022-02-28,-9.9914,-9.8247,97.1266,-2.8734
CHN300,2022-03-31,1.5257,1.6923,98.7703,-1.2297
CHN300,2022-04-30,-0.1106,0.0561,98.8257,-1.1743
CHN300,2022-05-31,0.7180,0.8847,99.7000,-0.3000
CHN300,2022-06-30,1.5721,1.7388,101.4335,1.4335
CHN300,2022-07-31,-8.2466,-8.0800,93.2377,-6.7623
CHN300,2022-08-31,0.5184,0.6851,93.8765,-6.1235
CHN300,2022-09-30,6.3798,6.5465,100.0221,0.0221
CHN300,2022-10-31,-6.0364,-5.8697,94.1511,-5.8489
CHN300,2022-11-30,-6.7338,-6.5672,87.9680,-12.0320
CHN300,2022-12-31,5.5400,5.7067,92.9881,-7.0119
CHN300,2023-01-31,-0.7642,-0.5976,92.4324,-7.5676
CHN300,2023-02-28,8.6784,8.8450,100.6081,0.6081
CHN300,2023-03-31,0.0225,0.1892,100.7984,0.7984
CHN300,2023-04-30,4.3483,4.5150,105.3494,5.3494
CHN300,2023-05-31,10.7141,10.8808,116.8122,16.8122
CHN300,2023-06-30,-1.5067,-1.3400,115.2469,15.2469
CHN300,2023-07-31,0.8604,1.0271,116.4306,16.4306
CHN300,2023-08-31,5.1955,5.3621,122.6737,22.6737
CHN300,2023-09-30,0.9276,1.0943,124.0161,24.0161
CHN300,2023-10-31,8.3214,8.4881,134.5427,34.5427
CHN300,2023-11-30,8.4970,8.6636,146.1990,46.1990
CHN300,2023-12-31,-5.1183,-4.9516,138.9598,38.9598
CHN300,2024-01-31,7.3392,7.5059,149.3900,49.3900
CHN300,2024-02-29,1.6203,1.7870,152.0595,52.0595
CHN300,2024-03-31,-1.5920,-1.4254,149.8921,49.8921
CHN300,2024-04-30,4.7653,4.9319,157.2847,57.2847
CHN300,2024-05-31,9.2678,9.4345,172.1238,72.1238
CHN300,2024-06-30,3.8654,4.0321,179.0640,79.0640
CHN300,2024-07-31,6.3066,6.4732,190.6552,90.6552
CHN300,2024-08-31,-9.5493,-9.3827,172.7666,72.7666
CHN300,2024-09-30,-3.0932,-2.9265,167.7106,67.7106
CHN300,2024-10-31,-4.2414,-4.0747,160.8768,60.8768
CHN300,2024-11-30,-0.6090,-0.4424,160.1652,60.1652
CHN300,2024-12-31,-0.6134,-0.4467,159.4497,59.4497
CHN300,2025-01-31,-2.2806,-2.1139,156.0791,56.0791
CHN300,2025-02-28,12.0000,12.1667,175.0687,75.0687
CHN300,2025-03-31,-5.6473,-5.4806,165.4738,65.4738
CHN300,2025-04-30,7.7053,7.8720,178.4999,78.4999
CHN300,2025-05-31,0.4822,0.6489,179.6582,79.6582
CHN300,2025-06-30,5.7625,5.9292,190.3105,90.3105
CHN300,2025-07-31,-8.1534,-7.9868,175.1108,75.1108
CHN300,2025-08-31,2.5199,2.6865,179.8152,79.8152
CHN300,2025-09-30,-5.1774,-5.0108,170.8051,70.8051
CHN300,2025-10-31,9.3364,9.5030,187.0368,87.0368
CHN300,2025-11-30,5.5390,5.7056,197.7084,97.7084
